dataset,split,check_type,column,duplicate_row_count,duplicate_group_count
financial_mmlu_ko,test,column,conversation_id,208,104
financial_mmlu_ko,test,full_row,ALL_COLUMNS,0,0
finqa,dev,column,id,0,0
finqa,dev,full_row,ALL_COLUMNS,0,0
finqa,test,column,id,0,0
finqa,test,full_row,ALL_COLUMNS,0,0
finqa,train,column,id,0,0
finqa,train,full_row,ALL_COLUMNS,0,0
fiqa_sa,test,column,_id,8,4
fiqa_sa,test,column,sentence,8,4
fiqa_sa,test,full_row,ALL_COLUMNS,0,0
fiqa_sa,train,column,_id,100,48
fiqa_sa,train,column,sentence,100,48
fiqa_sa,train,full_row,ALL_COLUMNS,0,0
fiqa_sa,valid,column,_id,11,5
fiqa_sa,valid,column,sentence,11,5
fiqa_sa,valid,full_row,ALL_COLUMNS,0,0
fpb,full,column,sentence,16,8
fpb,full,full_row,ALL_COLUMNS,12,6
