id,text,label,source_dataset
fiqa_0,"Still short $LNG from $11.70 area...next stop could be down through $9.00. Someone slammed it hard with 230,000 shs this am! More to follow",negative,FiQA
fiqa_1,$PLUG bear raid,negative,FiQA
fiqa_2,How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,positive,FiQA
fiqa_3,Slump in Weir leads FTSE down from record high,negative,FiQA
fiqa_4,"$AAPL bounces off support, it seems",positive,FiQA
fiqa_5,Johnson Matthey raises prospect of investor payout,positive,FiQA
fiqa_6,$DCTH Near HOD,positive,FiQA
fiqa_7,"UPDATE: CIB, Legal & General Sell Egyptian Life Joint Venture To AXA",positive,FiQA
fiqa_8,REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,positive,FiQA
fiqa_9,$FB churning in high volume @ IPO price. Lot's of sellers trying to get out. Might take a while here to consolidate before moving higher.,negative,FiQA
fiqa_10,$GNRC finding support at its 10-day line so far.,positive,FiQA
fiqa_11,"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.",positive,FiQA
fiqa_12,$GOOGL Hit With Lawsuit from Russian Search Engine $YNDX http://stks.co/b1kD8,negative,FiQA
fiqa_13,Nasdaq Sets Up for Breakout Part II | via @AllStarCharts http://stks.co/15Nv  $GOOG $AMZN $QCOM,positive,FiQA
fiqa_14,"potential defect with third-row seat belts. Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/YVYDncdNdi",negative,FiQA
fiqa_15,Tesco sells half of stake in ecommerce site Lazada to Alibaba for ÃÂ£90m,negative,FiQA
fiqa_16,Stakes High for AstraZeneca Heart Drug Facing Tough Competition,negative,FiQA
fiqa_17,British American Tobacco drops and sues PwC over pollution scandal,negative,FiQA
fiqa_18,UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,positive,FiQA
fiqa_19,Tesco breaks its downward slide by cutting sales decline in half,positive,FiQA
fiqa_20,$CRUS Upgraded to a buy by Alpha Street Research,positive,FiQA
fiqa_21,$FB popping up to HOD,positive,FiQA
fiqa_22,Just stumbled upon this amazing chart - $OFIX - holy guac. SUPER overbought. http://stks.co/e0PX1,negative,FiQA
fiqa_24,"$ADBE technical alerts: Expansion Breakout, Gilligan's Island Sell Setup, Volume Surge, and New 52... https://t.co/LxX66tknFH",positive,FiQA
fiqa_25,UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,negative,FiQA
fiqa_26,"Last month we added to our $GILD position and started a new one in $BWLD We see slow, steady, unspectacular growth going forward near term",positive,FiQA
fiqa_27,Auto Trader share price surges as company floats on LSE,positive,FiQA
fiqa_28,$SKX turning. Coming from far could go far. Stock price implies you pay nothing for the business,positive,FiQA
fiqa_29,Walter Investment Management Corp Receives a Sell from Compass Point $WAC http://stks.co/c1IvX,negative,FiQA
fiqa_30,"$SLV -4.44% at 18 now AWFUL, down from 42.50",negative,FiQA
fiqa_31,"FBR Capital reiterated ""Outperform"" rating on $BRCM with a price target of $45.00 on Friday.",positive,FiQA
fiqa_32,$isrg trading at all-time high after strong earnings report with 4 days of short interest.,positive,FiQA
fiqa_33,ALERT: New RSI signal created on $COST - Buy at 148.78 - Time: 14:19 - Strength: 10. Powered by https://t.co/MhOBzU3Rmx,positive,FiQA
fiqa_34,$FB Big Money Is Pouring Into Facebook From All Directions;http://stks.co/sOwG,positive,FiQA
fiqa_35,CompaniesKingfisher bid for Mr Bricolage runs into trouble,negative,FiQA
fiqa_36,$YELP wayyy overvalued right now IMO. Should be trading single digits. May take a short pos. into earnings. Near term target 18 ......,negative,FiQA
fiqa_37,Think $FMS will challendge 200-EMA in not distant future.   Look at yesterday's volume,positive,FiQA
fiqa_38,.@barronsonline sees #Apple at $150/share in a year (+36% from today) on growing services business. $AAPL https://t.co/3BDNEKN7l1,positive,FiQA
fiqa_39,$ARIA Bounce Player! Long above $6.17 http://stks.co/q0WfF,positive,FiQA
fiqa_40,Phew! So far good $BBRY did not break 10.40 coz I was told that is key support level.,positive,FiQA
fiqa_41,CompaniesAB InBev signals it won't go hostile for SABMiller,positive,FiQA
fiqa_42,"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/xDGrAExkKz",negative,FiQA
fiqa_45,"Tesco, Asda sales fall as march of the discounters continues-Kantar",negative,FiQA
fiqa_46,UPDATE 1-Meggitt reiterates annual outlook after tough 2014,positive,FiQA
fiqa_47,Surprising to see $JWN and $SKS sales numbers still holding up so well. I guess the high end might not be a concern after all.,positive,FiQA
fiqa_48,$SPY weak close,negative,FiQA
fiqa_50,BHP Billiton share price: Brazil to sue Samarco for ÃÂ£3.5bn,negative,FiQA
fiqa_52,Amazon to attack UK grocery market with Morrisons deal,positive,FiQA
fiqa_53,Interest Heats Up for @Yahoo $YHOO - The Wall Street Journal  https://t.co/j5jVjI9bia,positive,FiQA
fiqa_55,Relief for Lewis as Tesco sees sales grow for first time in a year,positive,FiQA
fiqa_57,CRH adds CR Laurence to acquisitions tally for $1.3bn,positive,FiQA
fiqa_59,"2nd raise this year.  ""@BVHealthcare: $QCOR Questcor Increases Quarterly Cash Dividend 20 Percent.. http://stks.co/goan""",positive,FiQA
fiqa_60,Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,negative,FiQA
fiqa_61,$EXPE working on the second leg of its reversal run as it breaks another down trend and continues higher. https://t.co/76DSJysyR0,positive,FiQA
fiqa_62,Glencore Studies Possible IPO for Agricultural Trading Business,positive,FiQA
fiqa_63,$AMRN Got sell signal 7/1/14 still in force with target below 1.50,negative,FiQA
fiqa_64,Kingfisher share price slides on cost to implement new strategy,negative,FiQA
fiqa_65,$GTE LONG at 7.44,positive,FiQA
fiqa_66,Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets $TSCO https://t.co/BmvhcrwREA,positive,FiQA
fiqa_67,Analysts impressed with progress at Tesla's flagship factory; co spent $1.6B on upgrades in '15 https://t.co/SABxCSn8cd by @tsrandall $TSLA,positive,FiQA
fiqa_68,"@Binkster69 Not that. it's just ER's lol. But looking at the correlation of $ARIA and foreign price charts, they are all poised to breakout.",positive,FiQA
fiqa_69,Shell and BG Shareholders to Vote on Deal at End of January,neutral,FiQA
fiqa_71,AstraZeneca shares climb 3% as drug maker ups profits forecasts,positive,FiQA
fiqa_72,$CTRP not a bad long chart now that it's through sma100 resistance.,positive,FiQA
fiqa_73,$IBIO  up 10% in premarket ready for lift off,positive,FiQA
fiqa_74,StanChart and RBS struggle in Bank of England stress tests,negative,FiQA
fiqa_75,"Centrica extends gas deals with Gazprom, Statoil",positive,FiQA
fiqa_77,Tesco leads leap in FTSE 100; Marks & Spencer drops,positive,FiQA
fiqa_79,SABMiller buys Meantime to quench thirst for craft beer,positive,FiQA
fiqa_80,$INVE : SEE YA ABOVE $8,positive,FiQA
fiqa_82,Out of shorts $ALTR at 38.85 with loss,positive,FiQA
fiqa_83,"$KO had missed earnings expectations for the last two quarters, so todayâs strong results came as a major surprise http://stks.co/d0RHF",positive,FiQA
fiqa_84,Commodity Channel Index Indicator signaled a Oversold for $FB #stockmarket https://t.co/VM32d3M9xi https://t.co/cvkojk05Xn,positive,FiQA
fiqa_85,$FB gone green on day,positive,FiQA
fiqa_87,L&G completes UK's largest medically underwritten bulk pension risk deal,positive,FiQA
fiqa_88,G4S slides on balance sheet worries,negative,FiQA
fiqa_89,"PNC, Goldman Sachs Receive Dividend Hike Green Light (But Don't Act): http://stks.co/2pa7 $PNC $GS",positive,FiQA
fiqa_90,HSBC appoints business leaders to board,positive,FiQA
fiqa_91,Added long at friday close  $SPY $LABU $BLUE $AMZN,positive,FiQA
fiqa_92,Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,positive,FiQA
fiqa_93,Buyback not trending right ( $CPIX spending more as shares pricier). Hopefully will pull back w 6.87 Q2 closing VWAP,negative,FiQA
