request_number,scope,variant,sample_id,dataset,provider,model,attempt,status,http_status,error_type,error_message,input_tokens,cache_hit_input_tokens,cache_miss_input_tokens,output_tokens,total_tokens,latency_ms,estimated_cost_usd,requested_at_utc,completed_at_utc
1,pilot,A,fpb-full-000025,fpb,gemini,gemini-2.5-flash,1,success,200,,,111,0,111,1,112,949.55,0.0,2026-07-21T01:59:17.704492+00:00,2026-07-21T01:59:18.653878+00:00
2,pilot,A,fpb-full-000040,fpb,gemini,gemini-2.5-flash,1,success,200,,,103,0,103,1,104,670.89,0.0,2026-07-21T01:59:25.167841+00:00,2026-07-21T01:59:25.838809+00:00
3,pilot,A,fpb-full-000063,fpb,gemini,gemini-2.5-flash,1,success,200,,,133,0,133,1,134,624.15,0.0,2026-07-21T01:59:32.382266+00:00,2026-07-21T01:59:33.006265+00:00
4,pilot,A,fpb-full-000080,fpb,gemini,gemini-2.5-flash,1,success,200,,,119,0,119,1,120,895.47,0.0,2026-07-21T01:59:39.539026+00:00,2026-07-21T01:59:40.434688+00:00
5,pilot,A,fpb-full-000101,fpb,gemini,gemini-2.5-flash,1,success,200,,,103,0,103,1,104,829.67,0.0,2026-07-21T01:59:46.947040+00:00,2026-07-21T01:59:47.776622+00:00
6,pilot,A,fpb-full-000126,fpb,gemini,gemini-2.5-flash,1,success,200,,,80,0,80,1,81,789.55,0.0,2026-07-21T02:02:28.152720+00:00,2026-07-21T02:02:28.942301+00:00
7,pilot,A,fpb-full-000142,fpb,gemini,gemini-2.5-flash,1,success,200,,,90,0,90,1,91,654.95,0.0,2026-07-21T02:02:35.458639+00:00,2026-07-21T02:02:36.113761+00:00
8,pilot,A,fpb-full-000178,fpb,gemini,gemini-2.5-flash,1,success,200,,,72,0,72,1,73,816.18,0.0,2026-07-21T02:02:42.627802+00:00,2026-07-21T02:02:43.444094+00:00
9,pilot,A,fpb-full-000235,fpb,gemini,gemini-2.5-flash,1,success,200,,,125,0,125,1,126,882.71,0.0,2026-07-21T02:02:49.958239+00:00,2026-07-21T02:02:50.841967+00:00
10,pilot,A,fpb-full-000264,fpb,gemini,gemini-2.5-flash,1,success,200,,,99,0,99,1,100,864.66,0.0,2026-07-21T02:02:57.359887+00:00,2026-07-21T02:02:58.224512+00:00
11,pilot,A,fpb-full-000271,fpb,gemini,gemini-2.5-flash,1,success,200,,,83,0,83,1,84,712.95,0.0,2026-07-21T02:03:04.742548+00:00,2026-07-21T02:03:05.455497+00:00
