sample_id,dataset,reference_answer,prompt_a_prediction,prompt_a_answer_correct,prompt_a_format_valid,prompt_b_prediction,prompt_b_answer_correct,prompt_b_format_valid,comparison_category
fpb-full-000025,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000040,fpb,positive,neutral,False,True,neutral,False,True,both_wrong
fpb-full-000063,fpb,neutral,positive,False,True,positive,False,True,both_wrong
fpb-full-000080,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000101,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000126,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000142,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000178,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000235,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000264,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000271,fpb,positive,negative,False,True,negative,False,True,both_wrong
fpb-full-000296,fpb,neutral,neutral,True,True,positive,False,True,prompt_a_only_correct
fpb-full-000298,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000319,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000347,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000352,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000396,fpb,neutral,positive,False,True,positive,False,True,both_wrong
fpb-full-000400,fpb,neutral,neutral,True,True,neutral,True,True,both_correct
fpb-full-000427,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000442,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000474,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000479,fpb,neutral,positive,False,True,positive,False,True,both_wrong
fpb-full-000488,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000494,fpb,neutral,neutral,True,True,neutral,True,True,both_correct
fpb-full-000527,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000540,fpb,negative,negative,True,True,negative,True,True,both_correct
fpb-full-000545,fpb,negative,negative,True,True,negative,True,True,both_correct
fpb-full-000546,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000581,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000582,fpb,positive,neutral,False,True,neutral,False,True,both_wrong
fpb-full-000593,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000634,fpb,neutral,positive,False,True,neutral,True,True,prompt_b_only_correct
fpb-full-000645,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000681,fpb,negative,negative,True,True,negative,True,True,both_correct
fpb-full-000687,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000692,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000695,fpb,neutral,positive,False,True,positive,False,True,both_wrong
fpb-full-000696,fpb,neutral,positive,False,True,positive,False,True,both_wrong
fpb-full-000710,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000712,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000737,fpb,negative,negative,True,True,negative,True,True,both_correct
fpb-full-000796,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000875,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000900,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000980,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000990,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000999,fpb,neutral,neutral,True,True,neutral,True,True,both_correct
fpb-full-001040,fpb,neutral,negative,False,True,neutral,True,True,prompt_b_only_correct
fpb-full-001054,fpb,neutral,neutral,True,True,neutral,True,True,both_correct
fpb-full-001062,fpb,neutral,negative,False,True,negative,False,True,both_wrong
fpb-full-001085,fpb,neutral,neutral,True,True,neutral,True,True,both_correct
fpb-full-001087,fpb,neutral,positive,False,True,positive,False,True,both_wrong
fpb-full-001109,fpb,neutral,neutral,True,True,positive,False,True,prompt_a_only_correct
fpb-full-001122,fpb,neutral,positive,False,True,positive,False,True,both_wrong
fpb-full-001127,fpb,neutral,positive,False,True,positive,False,True,both_wrong
fpb-full-001131,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-001137,fpb,neutral,positive,False,True,positive,False,True,both_wrong
fpb-full-001186,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-001224,fpb,neutral,positive,False,True,positive,False,True,both_wrong
fpb-full-001262,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-001273,fpb,neutral,positive,False,True,positive,False,True,both_wrong
fpb-full-001290,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-001372,fpb,neutral,neutral,True,True,neutral,True,True,both_correct
fpb-full-001401,fpb,neutral,positive,False,True,positive,False,True,both_wrong
fpb-full-001435,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-001439,fpb,neutral,neutral,True,True,neutral,True,True,both_correct
fpb-full-001477,fpb,neutral,positive,False,True,positive,False,True,both_wrong
fpb-full-001493,fpb,neutral,positive,False,True,positive,False,True,both_wrong
fpb-full-001547,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-001559,fpb,neutral,positive,False,True,positive,False,True,both_wrong
fpb-full-001575,fpb,neutral,neutral,True,True,neutral,True,True,both_correct
