sample_id,dataset,reference_answer,prompt_a_prediction,prompt_a_answer_correct,prompt_a_format_valid,prompt_b_prediction,prompt_b_answer_correct,prompt_b_format_valid,comparison_category
fpb-full-000025,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000040,fpb,positive,neutral,False,True,positive,True,True,prompt_b_only_correct
fpb-full-000063,fpb,neutral,neutral,True,True,neutral,True,True,both_correct
fpb-full-000080,fpb,positive,neutral,False,True,neutral,False,True,both_wrong
fpb-full-000101,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000126,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000142,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000178,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000235,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000264,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000271,fpb,positive,neutral,False,True,neutral,False,True,both_wrong
fpb-full-000296,fpb,neutral,positive,False,True,positive,False,True,both_wrong
fpb-full-000298,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000319,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000347,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000352,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000396,fpb,neutral,positive,False,True,positive,False,True,both_wrong
fpb-full-000400,fpb,neutral,neutral,True,True,positive,False,True,prompt_a_only_correct
fpb-full-000427,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000442,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000474,fpb,positive,neutral,False,True,neutral,False,True,both_wrong
fpb-full-000479,fpb,neutral,neutral,True,True,positive,False,True,prompt_a_only_correct
fpb-full-000488,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000494,fpb,neutral,positive,False,True,positive,False,True,both_wrong
fpb-full-000527,fpb,positive,neutral,False,True,positive,True,True,prompt_b_only_correct
fpb-full-000540,fpb,negative,negative,True,True,neutral,False,True,prompt_a_only_correct
fpb-full-000545,fpb,negative,negative,True,True,negative,True,True,both_correct
fpb-full-000546,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000581,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000582,fpb,positive,positive,True,True,positive,True,True,both_correct
fpb-full-000593,fpb,positive,positive,True,True,positive,True,True,both_correct
