id,text,label,source_dataset
0,"Still short $LNG from $11.70 area...next stop could be down through $9.00. Someone slammed it hard with 230,000 shs this am! More to follow",0,FiQA
1,$PLUG bear raid,0,FiQA
2,How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,2,FiQA
3,Slump in Weir leads FTSE down from record high,0,FiQA
4,"$AAPL bounces off support, it seems",2,FiQA
5,Johnson Matthey raises prospect of investor payout,2,FiQA
6,$DCTH Near HOD,2,FiQA
7,"UPDATE: CIB, Legal & General Sell Egyptian Life Joint Venture To AXA",2,FiQA
8,REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,2,FiQA
9,$FB churning in high volume @ IPO price. Lot's of sellers trying to get out. Might take a while here to consolidate before moving higher.,0,FiQA
10,$GNRC finding support at its 10-day line so far.,2,FiQA
11,"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.",2,FiQA
12,$GOOGL Hit With Lawsuit from Russian Search Engine $YNDX http://stks.co/b1kD8,0,FiQA
13,Nasdaq Sets Up for Breakout Part II | via @AllStarCharts http://stks.co/15Nv  $GOOG $AMZN $QCOM,2,FiQA
14,"potential defect with third-row seat belts. Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/YVYDncdNdi",0,FiQA
15,Tesco sells half of stake in ecommerce site Lazada to Alibaba for ÃÂ£90m,0,FiQA
16,Stakes High for AstraZeneca Heart Drug Facing Tough Competition,0,FiQA
17,British American Tobacco drops and sues PwC over pollution scandal,0,FiQA
18,UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,2,FiQA
19,Tesco breaks its downward slide by cutting sales decline in half,2,FiQA
20,$CRUS Upgraded to a buy by Alpha Street Research,2,FiQA
21,$FB popping up to HOD,2,FiQA
22,Just stumbled upon this amazing chart - $OFIX - holy guac. SUPER overbought. http://stks.co/e0PX1,0,FiQA
23,what #stocks large players are selling http://stks.co/t0Vel $CROX $GOGO $INO,0,FiQA
24,"$ADBE technical alerts: Expansion Breakout, Gilligan's Island Sell Setup, Volume Surge, and New 52... https://t.co/LxX66tknFH",2,FiQA
25,UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,0,FiQA
26,"Last month we added to our $GILD position and started a new one in $BWLD We see slow, steady, unspectacular growth going forward near term",2,FiQA
27,Auto Trader share price surges as company floats on LSE,2,FiQA
28,$SKX turning. Coming from far could go far. Stock price implies you pay nothing for the business,2,FiQA
29,Walter Investment Management Corp Receives a Sell from Compass Point $WAC http://stks.co/c1IvX,0,FiQA
30,"$SLV -4.44% at 18 now AWFUL, down from 42.50",0,FiQA
31,"FBR Capital reiterated ""Outperform"" rating on $BRCM with a price target of $45.00 on Friday.",2,FiQA
32,$isrg trading at all-time high after strong earnings report with 4 days of short interest.,2,FiQA
33,ALERT: New RSI signal created on $COST - Buy at 148.78 - Time: 14:19 - Strength: 10. Powered by https://t.co/MhOBzU3Rmx,2,FiQA
34,$FB Big Money Is Pouring Into Facebook From All Directions;http://stks.co/sOwG,2,FiQA
35,CompaniesKingfisher bid for Mr Bricolage runs into trouble,0,FiQA
36,$YELP wayyy overvalued right now IMO. Should be trading single digits. May take a short pos. into earnings. Near term target 18 ......,0,FiQA
37,Think $FMS will challendge 200-EMA in not distant future.   Look at yesterday's volume,2,FiQA
38,.@barronsonline sees #Apple at $150/share in a year (+36% from today) on growing services business. $AAPL https://t.co/3BDNEKN7l1,2,FiQA
39,$ARIA Bounce Player! Long above $6.17 http://stks.co/q0WfF,2,FiQA
40,Phew! So far good $BBRY did not break 10.40 coz I was told that is key support level.,2,FiQA
41,CompaniesAB InBev signals it won't go hostile for SABMiller,2,FiQA
42,"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/xDGrAExkKz",0,FiQA
43,$GOOGL gets an upgrade price target $970,2,FiQA
44,"$AAPL double bottom could be in, keep in mind",2,FiQA
45,"Tesco, Asda sales fall as march of the discounters continues-Kantar",0,FiQA
46,UPDATE 1-Meggitt reiterates annual outlook after tough 2014,2,FiQA
47,Surprising to see $JWN and $SKS sales numbers still holding up so well. I guess the high end might not be a concern after all.,2,FiQA
48,$SPY weak close,0,FiQA
49,Bilfinger Industrial Services win ÃÂ£100m BP contract extension,2,FiQA
50,BHP Billiton share price: Brazil to sue Samarco for ÃÂ£3.5bn,0,FiQA
51,"FDA approves NPS drug, in move validating Shire takeover deal",2,FiQA
52,Amazon to attack UK grocery market with Morrisons deal,2,FiQA
53,Interest Heats Up for @Yahoo $YHOO - The Wall Street Journal  https://t.co/j5jVjI9bia,2,FiQA
54,RT @robbieLOLZ $NFLX A close above here is looking good for the bulls. Will hold my positions to see where we close at. Keep buying here.,2,FiQA
55,Relief for Lewis as Tesco sees sales grow for first time in a year,2,FiQA
56,"FTSE 100 drops 2.5 pct on Glencore, metals price fears",0,FiQA
57,CRH adds CR Laurence to acquisitions tally for $1.3bn,2,FiQA
58,$mcp rolling over for a new intraday low. Bottom Pickers continue to get destroyed,0,FiQA
59,"2nd raise this year.  ""@BVHealthcare: $QCOR Questcor Increases Quarterly Cash Dividend 20 Percent.. http://stks.co/goan""",2,FiQA
60,Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,0,FiQA
61,$EXPE working on the second leg of its reversal run as it breaks another down trend and continues higher. https://t.co/76DSJysyR0,2,FiQA
62,Glencore Studies Possible IPO for Agricultural Trading Business,2,FiQA
63,$AMRN Got sell signal 7/1/14 still in force with target below 1.50,0,FiQA
64,Kingfisher share price slides on cost to implement new strategy,0,FiQA
65,$GTE LONG at 7.44,2,FiQA
66,Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets $TSCO https://t.co/BmvhcrwREA,2,FiQA
67,Analysts impressed with progress at Tesla's flagship factory; co spent $1.6B on upgrades in '15 https://t.co/SABxCSn8cd by @tsrandall $TSLA,2,FiQA
68,"@Binkster69 Not that. it's just ER's lol. But looking at the correlation of $ARIA and foreign price charts, they are all poised to breakout.",2,FiQA
69,Shell and BG Shareholders to Vote on Deal at End of January,1,FiQA
70,$TSLA announces a recall and the stock doesn't sell off. This stock is teflon. Won't last forever.,2,FiQA
71,AstraZeneca shares climb 3% as drug maker ups profits forecasts,2,FiQA
72,$CTRP not a bad long chart now that it's through sma100 resistance.,2,FiQA
73,$IBIO  up 10% in premarket ready for lift off,2,FiQA
74,StanChart and RBS struggle in Bank of England stress tests,0,FiQA
75,"Centrica extends gas deals with Gazprom, Statoil",2,FiQA
76,Rival companies $GWR and WATCO eyeing $RA w take-over interest.  http://stks.co/o0xY,2,FiQA
77,Tesco leads leap in FTSE 100; Marks & Spencer drops,2,FiQA
78,End Of Day Scan: Stochastic Overbought $JDST $FREE $BLRX $LPG $AFSI $DVAX $HDGE $AHT $ALR $ASMB  www.dailystockplays.com,0,FiQA
79,SABMiller buys Meantime to quench thirst for craft beer,2,FiQA
80,$INVE : SEE YA ABOVE $8,2,FiQA
81,like $T for a breakout long as well. getting through the 100 and 200 MA could see it run.,2,FiQA
82,Out of shorts $ALTR at 38.85 with loss,2,FiQA
83,"$KO had missed earnings expectations for the last two quarters, so todayâs strong results came as a major surprise http://stks.co/d0RHF",2,FiQA
84,Commodity Channel Index Indicator signaled a Oversold for $FB #stockmarket https://t.co/VM32d3M9xi https://t.co/cvkojk05Xn,2,FiQA
85,$FB gone green on day,2,FiQA
