request_number,scope,variant,sample_id,dataset,provider,model,attempt,status,http_status,error_type,error_message,input_tokens,cache_hit_input_tokens,cache_miss_input_tokens,output_tokens,total_tokens,latency_ms,estimated_cost_usd,requested_at_utc,completed_at_utc
1,pilot,B,fpb-full-000025,fpb,deepseek,deepseek-v4-pro,1,success,200,,,113,0,113,1,114,1851.03,5.002e-05,2026-07-20T16:57:58.249602+00:00,2026-07-20T16:58:00.100079+00:00
2,pilot,B,fpb-full-000040,fpb,deepseek,deepseek-v4-pro,1,success,200,,,111,0,111,1,112,867.39,4.915e-05,2026-07-20T16:58:00.414318+00:00,2026-07-20T16:58:01.281312+00:00
3,pilot,B,fpb-full-000063,fpb,deepseek,deepseek-v4-pro,1,success,200,,,144,0,144,1,145,1107.59,6.351e-05,2026-07-20T16:58:01.609094+00:00,2026-07-20T16:58:02.716031+00:00
4,pilot,B,fpb-full-000080,fpb,deepseek,deepseek-v4-pro,1,success,200,,,131,0,131,1,132,889.77,5.786e-05,2026-07-20T16:58:03.030863+00:00,2026-07-20T16:58:03.919838+00:00
5,pilot,B,fpb-full-000101,fpb,deepseek,deepseek-v4-pro,1,success,200,,,108,0,108,1,109,691.47,4.785e-05,2026-07-20T16:58:04.233482+00:00,2026-07-20T16:58:04.924578+00:00
6,pilot,B,fpb-full-000126,fpb,deepseek,deepseek-v4-pro,1,success,200,,,87,0,87,1,88,967.13,3.871e-05,2026-07-20T16:58:05.237979+00:00,2026-07-20T16:58:06.204724+00:00
7,pilot,B,fpb-full-000142,fpb,deepseek,deepseek-v4-pro,1,success,200,,,95,0,95,1,96,883.21,4.219e-05,2026-07-20T16:58:06.518547+00:00,2026-07-20T16:58:07.401102+00:00
8,pilot,B,fpb-full-000178,fpb,deepseek,deepseek-v4-pro,1,success,200,,,81,0,81,1,82,861.89,3.611e-05,2026-07-20T16:58:07.734575+00:00,2026-07-20T16:58:08.596277+00:00
9,pilot,B,fpb-full-000235,fpb,deepseek,deepseek-v4-pro,1,success,200,,,130,0,130,1,131,1012.56,5.742e-05,2026-07-20T16:58:08.910811+00:00,2026-07-20T16:58:09.922916+00:00
10,pilot,B,fpb-full-000264,fpb,deepseek,deepseek-v4-pro,1,success,200,,,101,0,101,1,102,1130.81,4.48e-05,2026-07-20T16:58:10.235347+00:00,2026-07-20T16:58:11.365589+00:00
11,pilot,B,fpb-full-000271,fpb,deepseek,deepseek-v4-pro,1,success,200,,,89,0,89,1,90,789.13,3.958e-05,2026-07-20T16:58:11.679726+00:00,2026-07-20T16:58:12.469120+00:00
12,pilot,B,fpb-full-000296,fpb,deepseek,deepseek-v4-pro,1,success,200,,,87,0,87,1,88,864.78,3.871e-05,2026-07-20T16:58:12.781473+00:00,2026-07-20T16:58:13.646377+00:00
13,pilot,B,fpb-full-000298,fpb,deepseek,deepseek-v4-pro,1,success,200,,,139,0,139,1,140,814.22,6.133e-05,2026-07-20T16:58:13.959598+00:00,2026-07-20T16:58:14.773396+00:00
14,pilot,B,fpb-full-000319,fpb,deepseek,deepseek-v4-pro,1,success,200,,,122,0,122,1,123,978.83,5.394e-05,2026-07-20T16:58:15.086212+00:00,2026-07-20T16:58:16.064696+00:00
15,pilot,B,fpb-full-000347,fpb,deepseek,deepseek-v4-pro,1,success,200,,,92,0,92,1,93,893.7,4.089e-05,2026-07-20T16:58:16.378661+00:00,2026-07-20T16:58:17.272828+00:00
16,pilot,B,fpb-full-000352,fpb,deepseek,deepseek-v4-pro,1,success,200,,,96,0,96,1,97,788.79,4.263e-05,2026-07-20T16:58:17.585883+00:00,2026-07-20T16:58:18.374244+00:00
17,pilot,B,fpb-full-000396,fpb,deepseek,deepseek-v4-pro,1,success,200,,,97,0,97,1,98,933.16,4.306e-05,2026-07-20T16:58:18.687822+00:00,2026-07-20T16:58:19.621022+00:00
18,pilot,B,fpb-full-000400,fpb,deepseek,deepseek-v4-pro,1,success,200,,,126,0,126,1,127,839.14,5.568e-05,2026-07-20T16:58:19.933605+00:00,2026-07-20T16:58:20.772569+00:00
19,pilot,B,fpb-full-000427,fpb,deepseek,deepseek-v4-pro,1,success,200,,,123,0,123,1,124,871.01,5.438e-05,2026-07-20T16:58:21.085268+00:00,2026-07-20T16:58:21.955409+00:00
20,pilot,B,fpb-full-000442,fpb,deepseek,deepseek-v4-pro,1,success,200,,,89,0,89,1,90,834.38,3.958e-05,2026-07-20T16:58:22.269049+00:00,2026-07-20T16:58:23.103557+00:00
21,pilot,B,fpb-full-000474,fpb,deepseek,deepseek-v4-pro,1,success,200,,,103,0,103,1,104,848.02,4.567e-05,2026-07-20T16:58:23.433086+00:00,2026-07-20T16:58:24.280908+00:00
22,pilot,B,fpb-full-000479,fpb,deepseek,deepseek-v4-pro,1,success,200,,,93,0,93,1,94,634.34,4.132e-05,2026-07-20T16:58:24.594886+00:00,2026-07-20T16:58:25.228803+00:00
23,pilot,B,fpb-full-000488,fpb,deepseek,deepseek-v4-pro,1,success,200,,,90,0,90,1,91,1086.05,4.002e-05,2026-07-20T16:58:25.541997+00:00,2026-07-20T16:58:26.627757+00:00
24,pilot,B,fpb-full-000494,fpb,deepseek,deepseek-v4-pro,1,success,200,,,94,0,94,1,95,879.76,4.176e-05,2026-07-20T16:58:26.941418+00:00,2026-07-20T16:58:27.820815+00:00
25,pilot,B,fpb-full-000527,fpb,deepseek,deepseek-v4-pro,1,success,200,,,88,0,88,1,89,943.01,3.915e-05,2026-07-20T16:58:28.134124+00:00,2026-07-20T16:58:29.076521+00:00
26,pilot,B,fpb-full-000540,fpb,deepseek,deepseek-v4-pro,1,success,200,,,101,0,101,1,102,623.74,4.48e-05,2026-07-20T16:58:29.390742+00:00,2026-07-20T16:58:30.014256+00:00
27,pilot,B,fpb-full-000545,fpb,deepseek,deepseek-v4-pro,1,success,200,,,84,0,84,1,85,796.22,3.741e-05,2026-07-20T16:58:30.327524+00:00,2026-07-20T16:58:31.124254+00:00
28,pilot,B,fpb-full-000546,fpb,deepseek,deepseek-v4-pro,1,success,200,,,108,0,108,1,109,903.8,4.785e-05,2026-07-20T16:58:31.437531+00:00,2026-07-20T16:58:32.341122+00:00
29,pilot,B,fpb-full-000581,fpb,deepseek,deepseek-v4-pro,1,success,200,,,109,0,109,1,110,1001.3,4.829e-05,2026-07-20T16:58:32.655819+00:00,2026-07-20T16:58:33.656861+00:00
30,pilot,B,fpb-full-000582,fpb,deepseek,deepseek-v4-pro,1,success,200,,,93,0,93,1,94,1017.64,4.132e-05,2026-07-20T16:58:33.970533+00:00,2026-07-20T16:58:34.987779+00:00
31,pilot,B,fpb-full-000593,fpb,deepseek,deepseek-v4-pro,1,success,200,,,114,0,114,1,115,890.24,5.046e-05,2026-07-20T16:58:35.300815+00:00,2026-07-20T16:58:36.191022+00:00
32,pilot,B,fpb-full-000634,fpb,deepseek,deepseek-v4-pro,1,success,200,,,109,0,109,1,110,761.56,4.829e-05,2026-07-20T16:58:36.503742+00:00,2026-07-20T16:58:37.265391+00:00
33,pilot,B,fpb-full-000645,fpb,deepseek,deepseek-v4-pro,1,success,200,,,130,0,130,1,131,852.46,5.742e-05,2026-07-20T16:58:37.578553+00:00,2026-07-20T16:58:38.431026+00:00
34,pilot,B,fpb-full-000681,fpb,deepseek,deepseek-v4-pro,1,success,200,,,95,0,95,1,96,1080.09,4.219e-05,2026-07-20T16:58:38.743550+00:00,2026-07-20T16:58:39.823868+00:00
35,pilot,B,fpb-full-000687,fpb,deepseek,deepseek-v4-pro,1,success,200,,,112,0,112,1,113,939.18,4.959e-05,2026-07-20T16:58:40.137075+00:00,2026-07-20T16:58:41.076138+00:00
36,pilot,B,fpb-full-000692,fpb,deepseek,deepseek-v4-pro,1,success,200,,,95,0,95,1,96,889.67,4.219e-05,2026-07-20T16:58:41.389463+00:00,2026-07-20T16:58:42.279312+00:00
37,pilot,B,fpb-full-000695,fpb,deepseek,deepseek-v4-pro,1,success,200,,,111,0,111,1,112,957.92,4.915e-05,2026-07-20T16:58:42.592958+00:00,2026-07-20T16:58:43.551319+00:00
38,pilot,B,fpb-full-000696,fpb,deepseek,deepseek-v4-pro,1,success,200,,,96,0,96,1,97,685.44,4.263e-05,2026-07-20T16:58:43.874388+00:00,2026-07-20T16:58:44.559341+00:00
39,pilot,B,fpb-full-000710,fpb,deepseek,deepseek-v4-pro,1,success,200,,,115,0,115,1,116,1056.01,5.089e-05,2026-07-20T16:58:44.872333+00:00,2026-07-20T16:58:45.928097+00:00
40,pilot,B,fpb-full-000712,fpb,deepseek,deepseek-v4-pro,1,success,200,,,137,0,137,1,138,1099.57,6.046e-05,2026-07-20T16:58:46.241204+00:00,2026-07-20T16:58:47.340632+00:00
41,pilot,B,fpb-full-000737,fpb,deepseek,deepseek-v4-pro,1,success,200,,,96,0,96,1,97,710.36,4.263e-05,2026-07-20T16:58:47.654926+00:00,2026-07-20T16:58:48.364863+00:00
42,pilot,B,fpb-full-000796,fpb,deepseek,deepseek-v4-pro,1,success,200,,,112,0,112,1,113,890.04,4.959e-05,2026-07-20T16:58:48.678554+00:00,2026-07-20T16:58:49.568346+00:00
43,pilot,B,fpb-full-000875,fpb,deepseek,deepseek-v4-pro,1,success,200,,,117,0,117,1,118,1079.17,5.176e-05,2026-07-20T16:58:49.881591+00:00,2026-07-20T16:58:50.960693+00:00
44,pilot,B,fpb-full-000900,fpb,deepseek,deepseek-v4-pro,1,success,200,,,103,0,103,1,104,886.4,4.567e-05,2026-07-20T16:58:51.274900+00:00,2026-07-20T16:58:52.160936+00:00
45,pilot,B,fpb-full-000980,fpb,deepseek,deepseek-v4-pro,1,success,200,,,85,0,85,1,86,958.81,3.785e-05,2026-07-20T16:58:52.474201+00:00,2026-07-20T16:58:53.433081+00:00
46,pilot,B,fpb-full-000990,fpb,deepseek,deepseek-v4-pro,1,success,200,,,85,0,85,1,86,726.55,3.785e-05,2026-07-20T16:58:53.745781+00:00,2026-07-20T16:58:54.471784+00:00
47,pilot,B,fpb-full-000999,fpb,deepseek,deepseek-v4-pro,1,success,200,,,82,0,82,1,83,984.08,3.654e-05,2026-07-20T16:58:54.785168+00:00,2026-07-20T16:58:55.769513+00:00
48,pilot,B,fpb-full-001040,fpb,deepseek,deepseek-v4-pro,1,success,200,,,84,0,84,1,85,1049.29,3.741e-05,2026-07-20T16:58:56.082044+00:00,2026-07-20T16:58:57.130618+00:00
49,pilot,B,fpb-full-001054,fpb,deepseek,deepseek-v4-pro,1,success,200,,,115,0,115,1,116,1005.37,5.089e-05,2026-07-20T16:58:57.444796+00:00,2026-07-20T16:58:58.449947+00:00
50,pilot,B,fpb-full-001062,fpb,deepseek,deepseek-v4-pro,1,success,200,,,109,0,109,1,110,836.68,4.829e-05,2026-07-20T16:58:58.762967+00:00,2026-07-20T16:58:59.600010+00:00
51,pilot,B,fpb-full-001085,fpb,deepseek,deepseek-v4-pro,1,success,200,,,83,0,83,1,84,773.92,3.697e-05,2026-07-20T16:58:59.912471+00:00,2026-07-20T16:59:00.686456+00:00
