dataset,split,distribution_name,value,count,percentage
financial_mmlu_ko,test,answer,1,88,19.34
financial_mmlu_ko,test,answer,2,126,27.69
financial_mmlu_ko,test,answer,3,117,25.71
financial_mmlu_ko,test,answer,4,116,25.49
financial_mmlu_ko,test,answer,5,8,1.76
finqa,dev,answer_type,missing,12,1.36
finqa,dev,answer_type,numeric,851,96.38
finqa,dev,answer_type,text,10,1.13
finqa,dev,answer_type,yes_no,10,1.13
finqa,test,answer_type,missing,14,1.22
finqa,test,answer_type,numeric,1100,95.9
finqa,test,answer_type,text,11,0.96
finqa,test,answer_type,yes_no,22,1.92
finqa,train,answer_type,missing,48,0.77
finqa,train,answer_type,numeric,5968,95.47
finqa,train,answer_type,text,115,1.84
finqa,train,answer_type,yes_no,120,1.92
fiqa_sa,test,inspection_sentiment_label,negative,88,37.61
fiqa_sa,test,inspection_sentiment_label,neutral,2,0.85
fiqa_sa,test,inspection_sentiment_label,positive,144,61.54
fiqa_sa,train,inspection_sentiment_label,negative,264,32.12
fiqa_sa,train,inspection_sentiment_label,neutral,12,1.46
fiqa_sa,train,inspection_sentiment_label,positive,546,66.42
fiqa_sa,valid,inspection_sentiment_label,negative,47,40.17
fiqa_sa,valid,inspection_sentiment_label,positive,70,59.83
fpb,full,label,negative,604,12.46
fpb,full,label,neutral,2879,59.41
fpb,full,label,positive,1363,28.13
