request_number,scope,variant,sample_id,dataset,provider,model,attempt,status,http_status,error_type,error_message,input_tokens,cache_hit_input_tokens,cache_miss_input_tokens,output_tokens,total_tokens,latency_ms,estimated_cost_usd,requested_at_utc,completed_at_utc
1,pilot,A,fpb-full-000025,fpb,deepseek,deepseek-v4-pro,1,success,200,,,103,0,103,1,104,1875.27,4.567e-05,2026-07-20T16:34:50.576380+00:00,2026-07-20T16:34:52.452582+00:00
2,pilot,A,fpb-full-000040,fpb,deepseek,deepseek-v4-pro,1,success,200,,,101,0,101,1,102,865.59,4.48e-05,2026-07-20T16:34:52.800859+00:00,2026-07-20T16:34:53.665691+00:00
3,pilot,A,fpb-full-000063,fpb,deepseek,deepseek-v4-pro,1,success,200,,,134,0,134,1,135,839.51,5.916e-05,2026-07-20T16:34:53.981082+00:00,2026-07-20T16:34:54.820325+00:00
4,pilot,A,fpb-full-000080,fpb,deepseek,deepseek-v4-pro,1,success,200,,,121,0,121,1,122,794.15,5.35e-05,2026-07-20T16:34:55.162125+00:00,2026-07-20T16:34:55.955466+00:00
5,pilot,A,fpb-full-000101,fpb,deepseek,deepseek-v4-pro,1,success,200,,,98,0,98,1,99,1074.3,4.35e-05,2026-07-20T16:34:56.270206+00:00,2026-07-20T16:34:57.343700+00:00
6,pilot,A,fpb-full-000126,fpb,deepseek,deepseek-v4-pro,1,success,200,,,77,0,77,1,78,1862.11,3.437e-05,2026-07-20T16:36:45.447489+00:00,2026-07-20T16:36:47.309156+00:00
7,pilot,A,fpb-full-000142,fpb,deepseek,deepseek-v4-pro,1,success,200,,,85,0,85,1,86,873.41,3.785e-05,2026-07-20T16:36:47.624867+00:00,2026-07-20T16:36:48.498511+00:00
8,pilot,A,fpb-full-000178,fpb,deepseek,deepseek-v4-pro,1,success,200,,,71,0,71,1,72,674.68,3.175e-05,2026-07-20T16:36:48.812404+00:00,2026-07-20T16:36:49.487261+00:00
9,pilot,A,fpb-full-000235,fpb,deepseek,deepseek-v4-pro,1,success,200,,,120,0,120,1,121,815.1,5.307e-05,2026-07-20T16:36:49.800608+00:00,2026-07-20T16:36:50.615342+00:00
10,pilot,A,fpb-full-000264,fpb,deepseek,deepseek-v4-pro,1,success,200,,,91,0,91,1,92,1000.54,4.045e-05,2026-07-20T16:36:50.929334+00:00,2026-07-20T16:36:51.929386+00:00
