dataset,split,check_type,column,row_index,value_preview
fpb,full,full_row,ALL_COLUMNS,1098,sentence=The issuer is solely responsible for the content of this announcement . || label=neutral
fpb,full,full_row,ALL_COLUMNS,1099,sentence=The issuer is solely responsible for the content of this announcement . || label=neutral
fpb,full,full_row,ALL_COLUMNS,1415,"sentence=The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc."
fpb,full,full_row,ALL_COLUMNS,1416,"sentence=The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc."
fpb,full,full_row,ALL_COLUMNS,2395,sentence=Ahlstrom 's share is quoted on the NASDAQ OMX Helsinki . || label=neutral
fpb,full,full_row,ALL_COLUMNS,2396,sentence=Ahlstrom 's share is quoted on the NASDAQ OMX Helsinki . || label=neutral
fpb,full,full_row,ALL_COLUMNS,2566,"sentence=SSH Communications Security Corporation is headquartered in Helsinki , Finland . || label=neutral"
fpb,full,full_row,ALL_COLUMNS,2567,"sentence=SSH Communications Security Corporation is headquartered in Helsinki , Finland . || label=neutral"
fpb,full,full_row,ALL_COLUMNS,3093,"sentence=Proha Plc ( Euronext :7327 ) announced today ( 19 May ) that its fully-owned subsidiary , Safran Software Solutions AS , has agreed to sell its 49 % share of Safran North America LLC to a SNA Holding AS , an investment group based in Norway . || label=neutral"
fpb,full,full_row,ALL_COLUMNS,3094,"sentence=Proha Plc ( Euronext :7327 ) announced today ( 19 May ) that its fully-owned subsidiary , Safran Software Solutions AS , has agreed to sell its 49 % share of Safran North America LLC to a SNA Holding AS , an investment group based in Norway . || label=neutral"
fpb,full,full_row,ALL_COLUMNS,3205,"sentence=The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and househo"
fpb,full,full_row,ALL_COLUMNS,3206,"sentence=The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and househo"
fpb,full,column,sentence,78,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .
fpb,full,column,sentence,79,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .
fpb,full,column,sentence,788,The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .
fpb,full,column,sentence,789,The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .
fpb,full,column,sentence,1098,The issuer is solely responsible for the content of this announcement .
fpb,full,column,sentence,1099,The issuer is solely responsible for the content of this announcement .
fpb,full,column,sentence,1415,"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. ."
fpb,full,column,sentence,1416,"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. ."
