dataset,sample_id,split,stratum,full_line_number,in_pilot,in_smoke20
fpb,fpb-full-000025,full,split=full|label=positive,25,True,False
fpb,fpb-full-000040,full,split=full|label=positive,40,True,False
fpb,fpb-full-000063,full,split=full|label=neutral,63,True,False
fpb,fpb-full-000080,full,split=full|label=positive,80,True,False
fpb,fpb-full-000101,full,split=full|label=positive,101,True,False
fpb,fpb-full-000126,full,split=full|label=positive,126,True,False
fpb,fpb-full-000142,full,split=full|label=positive,142,True,False
fpb,fpb-full-000178,full,split=full|label=positive,178,True,False
fpb,fpb-full-000235,full,split=full|label=positive,235,True,False
fpb,fpb-full-000264,full,split=full|label=positive,264,True,False
fpb,fpb-full-000271,full,split=full|label=positive,271,True,False
fpb,fpb-full-000296,full,split=full|label=neutral,296,True,False
fpb,fpb-full-000298,full,split=full|label=positive,298,True,False
fpb,fpb-full-000319,full,split=full|label=positive,319,True,True
fpb,fpb-full-000347,full,split=full|label=positive,347,True,False
fpb,fpb-full-000352,full,split=full|label=positive,352,True,False
fpb,fpb-full-000396,full,split=full|label=neutral,396,True,False
fpb,fpb-full-000400,full,split=full|label=neutral,400,True,False
fpb,fpb-full-000427,full,split=full|label=positive,427,True,False
fpb,fpb-full-000442,full,split=full|label=positive,442,True,False
fpb,fpb-full-000474,full,split=full|label=positive,474,True,False
fpb,fpb-full-000479,full,split=full|label=neutral,479,True,False
fpb,fpb-full-000488,full,split=full|label=positive,488,True,False
fpb,fpb-full-000494,full,split=full|label=neutral,494,True,False
fpb,fpb-full-000527,full,split=full|label=positive,527,True,True
fpb,fpb-full-000540,full,split=full|label=negative,540,True,False
fpb,fpb-full-000545,full,split=full|label=negative,545,True,False
fpb,fpb-full-000546,full,split=full|label=positive,546,True,False
fpb,fpb-full-000581,full,split=full|label=positive,581,True,False
fpb,fpb-full-000582,full,split=full|label=positive,582,True,False
fpb,fpb-full-000593,full,split=full|label=positive,593,True,False
fpb,fpb-full-000634,full,split=full|label=neutral,634,True,False
fpb,fpb-full-000645,full,split=full|label=positive,645,True,False
fpb,fpb-full-000681,full,split=full|label=negative,681,True,False
fpb,fpb-full-000687,full,split=full|label=positive,687,True,True
fpb,fpb-full-000692,full,split=full|label=positive,692,True,False
